dept_name,gender,emp_no,from_date,to_date,currently_active
"Quality Management",F,110860,1993-01-06,1999-01-05,0
"Quality Management",F,110859,1996-12-29,2002-12-28,0
"Quality Management",M,110858,1990-06-27,1995-06-26,0
"Quality Management",M,110857,1991-03-04,1996-03-02,0
"Quality Management",F,110856,1993-05-12,1998-05-11,0
"Quality Management",M,110855,1994-05-14,2000-05-12,0
"Quality Management",M,110854,1990-06-09,1998-06-07,0
"Quality Management",F,110800,1993-08-10,1998-08-09,0
"Quality Management",F,110765,1992-01-07,1998-01-05,0
"Quality Management",F,110725,1995-12-30,2001-12-28,0
Development,F,110579,1998-05-29,9999-01-01,1
Development,F,110578,1999-03-12,2000-01-21,0
Development,F,110577,1992-01-29,1996-09-27,0
Development,M,110576,1995-02-28,2000-02-27,0
Development,F,110575,1995-03-26,2000-09-17,0
Development,F,110574,1994-11-30,2003-11-28,0
Development,M,110573,1992-06-14,1994-01-11,0
Development,M,110572,1993-02-20,1998-02-19,0
Development,M,110571,1999-02-28,9999-01-01,1
Development,F,110570,1997-04-07,2001-04-06,0
Development,M,110569,1994-10-03,1998-10-02,0
Development,M,110568,1990-01-05,2003-08-20,0
Development,F,110567,1992-04-25,1997-10-18,0
Development,M,110511,1991-12-31,2000-12-28,0
Production,M,110430,1998-05-29,2000-05-27,0
Production,F,110429,1995-06-14,2004-12-27,0
Production,M,110428,1996-02-20,2001-02-18,0
Production,M,110427,1993-03-30,1998-03-29,0
Production,M,110426,1993-04-25,1998-10-18,0
Production,M,110425,1992-12-30,2001-12-28,0
Production,M,110424,1990-07-15,1992-02-11,0
Production,M,110423,1991-03-23,1996-03-21,0
Production,M,110422,1990-03-11,1993-07-18,0
Production,M,110421,1991-01-30,1996-06-07,0
Production,M,110420,1994-02-04,9999-01-01,1
Production,M,110386,1994-10-13,1999-10-12,0
Production,F,110344,1991-11-21,1996-11-19,0
Production,F,110303,1992-12-30,1999-12-29,0
"Human Resources",F,110240,2000-05-29,9999-01-01,1
"Human Resources",M,110239,1997-05-29,2000-05-27,0
"Human Resources",F,110238,1994-05-15,2000-05-27,0
"Human Resources",M,110237,1992-10-01,2000-09-29,0
"Human Resources",F,110236,1992-05-04,2000-05-02,0
"Human Resources",M,110235,1995-07-06,2000-07-04,0
"Human Resources",F,110234,1993-12-02,1999-12-01,0
"Human Resources",M,110233,1997-11-24,2003-11-23,0
"Human Resources",M,110232,1995-12-31,9999-01-01,1
"Human Resources",M,110231,1996-09-07,2001-09-06,0
"Human Resources",M,110230,1993-10-16,1998-10-15,0
"Human Resources",M,110229,1994-11-25,2001-11-23,0
"Human Resources",F,110228,1992-08-02,1997-08-01,0
"Human Resources",F,110183,1990-12-31,1996-12-29,0
Finance,M,110127,2000-05-29,9999-01-01,1
Finance,M,110126,1999-05-29,2000-05-27,0
Finance,M,110125,1993-12-30,2000-12-28,0
Finance,M,110124,1993-06-08,2001-06-06,0
Finance,M,110123,1996-08-09,2001-08-08,0
Finance,F,110122,1995-01-06,2001-01-04,0
Finance,M,110121,1998-12-29,2004-12-27,0
Finance,M,110120,1997-02-03,9999-01-01,1
Finance,M,110119,1997-10-12,2002-10-11,0
Finance,M,110118,1994-11-20,1999-11-19,0
Finance,M,110117,1995-12-30,2002-12-28,0
Finance,F,110116,1995-08-02,2000-07-31,0
Finance,F,110115,1993-12-30,1999-12-29,0
Finance,F,110114,1991-01-13,9999-01-01,1
Finance,M,110085,1991-12-31,1998-12-29,0
Marketing,M,110051,1999-05-29,2000-05-27,0
Marketing,F,110050,1998-05-29,2000-05-27,0
Marketing,M,110049,1991-06-09,1999-06-07,0
Marketing,M,110048,1994-08-10,1999-08-09,0
Marketing,F,110047,1993-01-06,1999-01-05,0
Marketing,F,110046,1996-12-29,2002-12-28,0
Marketing,M,110045,1995-02-04,9999-01-01,1
Marketing,F,110044,1995-10-13,2000-10-11,0
Marketing,F,110043,1992-11-20,1997-11-19,0
Marketing,M,110042,1993-12-30,2000-12-28,0
Marketing,F,110041,1993-08-02,1998-08-01,0
Marketing,M,110040,1991-12-31,1997-12-29,0
Marketing,M,110039,1997-04-09,9999-01-01,1
Marketing,M,110022,1995-12-30,1998-12-29,0
